Fecha,Usuario,Documento de Recepción,Nota,SKU,Código Barras,Producto,Cantidad,Serie,Costo Neto Unitario,Costo Neto Total
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40521688,6933126200518,TRIPODE 130 CMS YUNTENG VCT-1688,3,,"8.900,00",26.7
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40731288,6933126200235,BASTON SELFIE BLUETOOTH YT-1288,6,,"4.700,00",28.2
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40522663,5541828501232,"SOPORTE DE TV FIJO 26""-63""",6,,"2.390,00",14.34
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40110006,6918888888617,CARGADOR AUTO EZRA CR06,12,,"1.390,00",16.68
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40210003,6918888887597,TRANSMISOR BLUETOOTH EZRA BCR03,6,,"5.590,00",33.54
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40112515,6920155502515,PORTA CELULAR TABLERO IMAN,6,,"2.490,00",14.94
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40528342,6986698983426,REPRODUCTOR DE MP4/MP3 MOD 98342,6,,"16.990,00",101.94
26/10/2021,NATALY BAEZA,Factura Nº 5636,IMPERIO,40520005,6820100415863,PESA DIGITAL DE COCINA CON BOWL,10,,"3.100,00",31
26/10/2021,NATALY FLORIDA,GUIA DE TRAPASO Nº 2185,Recepcion / NATALY FLORIDA,54335454,54335454,LAMINA HIDROGEL,16,,"936,00",14.976
28/10/2021,NATALY BAEZA,Factura Nº 42204,CIQ,54335454,54335454,LAMINA HIDROGEL,100,,"936,60",93.66
28/10/2021,NATALY BAEZA,Sin Documento Nº 281021,INVENTARIO,98350288,6932448282882,AUDIFONO MULTIMEDIA SONIA SN-288MV ELECTRONICA MENOR,1,,"3.319,33",3.319
28/10/2021,NATALY BAEZA,Sin Documento Nº 281021,INVENTARIO,25031460,6927900010264,AUDIFONOS TARGET TT-E1460BK ELECTRONICA MENOR,1,,"690,00",690
28/10/2021,NATALY BAEZA,Sin Documento Nº 281021,INVENTARIO,25031464,6927900010257,AUDIFONOS TARGET TT-E1460RD ELECTRONICA MENOR,4,,"690,00",2.76
28/10/2021,NATALY BAEZA,Sin Documento Nº 281021,INVENTARIO,37SONMD15B,027242868625,AUDIFONOS SONY MDR-EX15LP WH ELECTRONICA MENOR,1,,"4.290,00",4.29
28/10/2021,NATALY BAEZA,Sin Documento Nº 281021,INVENTARIO,92710032,619659068165,PENDRIVE 32 GB SANDISK,3,,"3.390,00",10.17
29/10/2021,NATALY BAEZA,Sin Documento Nº 291021,INVENTARIO,98126612,6925871666121,CARGADOR CASA CABLE USB-V8 ET-E6612,1,,"789,92",790
29/10/2021,NATALY BAEZA,Factura Nº 133,ANI,39930009,6972470560657,AUDIFONOS GAMER ONIKUMA K9 ROSADO OREJA DE GATO,3,,"17.500,00",52.5
29/10/2021,NATALY BAEZA,Factura Nº 133,ANI,39500025,6972470560947,TECLADO Y MOUSE ALAMBRICO GAMER ONIKUMA G25,2,,"17.739,00",35.478
29/10/2021,NATALY BAEZA,Factura Nº 133,ANI,39195008,39195008,"FUNDA CON TECLADO PARA TABLET 8""",10,,"8.500,00",85
30/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2188,Recepcion / NATALY BAEZA,98920985,041333000985,PILA DURACELL D2,2,,"2.353,00",4.706
30/10/2021,NATALY BAEZA,Factura Nº 133,ANI,39740808,305541008080,AUDIFONOS BLUETOOTH UNICORN AH-808,6,,"7.800,00",46.8
30/10/2021,NATALY BAEZA,Factura Nº 133,ANI,395107601,395107601,TAPA 2.0 IPHONE 11,10,,"1.620,00",16.2
30/10/2021,NATALY BAEZA,Factura Nº 133,ANI,395114304,395114304,TAPA 2.0 SAM A32,10,,"1.620,00",16.2
30/10/2021,NATALY BAEZA,Factura Nº 133,ANI,395114307,395114307,TAPA 2.0 SAM A52,10,,"1.620,00",16.2
,,,,,,,,,,
,,,,,,,,Total,"4.498.455,73",
