Fecha,Usuario,Documento de Recepción,Nota,SKU,Código Barras,Producto,Cantidad,Serie,Costo Neto Unitario,Costo Neto Total
07/10/2021,NATALY BAEZA,Sin Documento Nº 07102021,DONG XU,54350700,54350700,AUDIFONOS MANOS LIBRES HMD-20557 TIPO IPHONE,48,,"1.400,00",67.2
07/10/2021,NATALY BAEZA,Sin Documento,Ajuste de Stock: NATALY BAEZA,27581062,27581062,TAPA 2.0 MOTO G2,2,,"1.008,00",2.016
07/10/2021,NATALY BAEZA,Sin Documento,Ajuste de Stock: NATALY BAEZA,76461062,76461062,TAPA 2.0 MOTO G2,2,,"1.513,00",3.026
07/10/2021,NATALY BAEZA,Sin Documento,Ajuste de Stock: NATALY BAEZA,76581062,76581062,TAPA 2.0 MOTO G2,2,,"1.513,00",3.026
07/10/2021,NATALY BAEZA,Sin Documento,Ajuste de Stock: NATALY BAEZA,17481062,17481062,TAPA 2.0 MOTO G2,2,,"420,00",840
08/10/2021,NATALY BAEZA,Factura Nº 71539,CASA DIGITAL,98030100,840063200364,AUDIFONOS PHILIPS TAUE100 ELECTRONICA MENOR,48,,"2.226,90",106.891
08/10/2021,NATALY BAEZA,Factura Nº 71539,CASA DIGITAL,98039727,021299179727,AUDIFONOS KOSS PORTA PRO KTC ELECTRONICA MENOR,1,,"19.327,70",19.328
08/10/2021,NATALY BAEZA,Factura Nº 71539,CASA DIGITAL,98740001,7453041022129,AUDIFONOS BLUETOOTH AIWA AW-D1,5,,"18.739,00",93.695
08/10/2021,NATALY BAEZA,Factura Nº 71539,CASA DIGITAL,98740660,7804612212560,AUDIFONOS BLUETOOTH AW-660BT AIWA,6,,"10.000,00",60
08/10/2021,NATALY BAEZA,Factura Nº 71539,CASA DIGITAL,98740680,7804612214076,AUDIFONOS BLUETOOTH AIWA AW680BT,6,,"10.000,00",60
